row_id,sentiment_text,ground_truth,subject_tag,final_text_style_c,bing_liu_sentiment,bing_liu_sentiment_score,bing_liu_sentiment_confidence
89,"On the first day of the Iran war, missiles struck a girls&#39; elementary school in Minab three times. Up to 180 killed — most of them girls aged 7–12.U.S. investigators now say it was likely an American munition.The school opened in 2015. It showed up in satellite imagery as a school since 2016. It was on a U.S. target list on February 28.Seven days later. No public answers.Full investigation: 🔗 https://zurl.co/jtSjN #IranWar #Accountability #Journalism #TrueSignalMedia",negative,Military Action,first day iran war missile strike girl elementary school final three time kill girl age u investigator say likely american munition school open show satellite imagery school since u target list february seven day later public answer full investigation link,negative,-1.0,1.0
90,"@pait At this point, it's about Iranian freedom and American freedom. It only changes the religion of the lunatics in power. Poor people!#USPol #IranWar #Autocracy",negative,General Conflict,point iranian freedom american freedom change religion lunatic power poor people,neutral,0.0,1.0
91,"Michael Goldfarb offers this thoughtful and insightful discussion of the U.S.-Iranian war. Journalist, author, and Beirut native Kim Ghattas says Iran's regime aims to survive and believes it will outlast Donald Trump's attention span and commitment. Going back to Carter, Iran has outmaneuvered every U.S. president. #IranWar #Iran #MiddleEast https://www.goldfarbpod.com/iran-us-israel-lebanon-a-conversation-with-kim-ghattas/",neutral,General Conflict,michael gold arb offer thoughtful insightful discussion u iranian war journalist author beirut native kim ghat say iran regime aim survive believe outlast donald trump attention span commitment go back carter iran outline cover every u president,positive,1.0,1.0
92,"Interview: &quot;A huge amount of global oil &amp; gas passes through the Strait of Hormuz, particularly for Europe. It&#39;s already starting to affect the oil price.&quot;Alastair Crooke unpacks:* the flawed assumptions of the US about how a war on Iran would pan out;* Iran&#39;s military strategy - first, exhaust the Israeli et al. interceptors...* how the war will affect the global resource flow and economy;&amp; much more.https://www.youtube.com/watch?v=YL8rXeNkXsQ #USPol #eupol #IranWar #USImperialism #Economy .",neutral,General Conflict,interview huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke unpacks flaw assumption u war iran would pan iran military strategy first exhaust israeli al interceptor war affect global resource flow economy amp much,negative,-1.0,1.0
93,"""White House wages online propaganda campaign with aggressive and tasteless videos seemingly designed for young rightwing American men."" #Iranwar https://www.theguardian.com/us-news/2026/mar/07/trump-iran-hype-videos",negative,General Conflict,white house wage online propaganda campaign aggressive tasteless video seemingly design young right american men,negative,-0.3333333333333333,0.3333333333333333
94,"#operationepicfailure #iran #iranwar #taco The White House is blocking the release of information about the increase of risk of a terrorist attack in US soil ;“ Donald Trump’s White House is blocking top US intelligence agencies from warning law enforcement across the country about rising threats to the homeland tied to his war with Iran, the Daily Mail can reveal.”https://www.dailymail.co.uk/news/article-15622933/White-House-blocks-warning-rising-threat-linked-Iran-war.html",negative,Military Action,white house block release information increase risk terrorist attack u soil donald trump white house block top u intelligence agency warn law enforcement across country rise threat homeland tie war iran daily mail reveal,neutral,0.0,1.0
95,"""Rubio’s 'Israel made us do it' story serves several purposes, none of them honest. It deflects accountability from the administration that ordered the strikes. It feeds a narrative of U.S. helplessness — a superpower supposedly dragged into war by a much smaller ally — that insults the intelligence of anyone paying attention. And it recycles a reactionary framework — the idea of disproportionate Israeli influence over U.S. foreign policy — that lets Washington off the hook. The question of who controls whom is answered by looking at the money, the weapons and the chain of command.""https://www.struggle-la-lucha.org/2026/03/07/israel-didnt-drag-washington-to-war-washington-sent-israel/#IranWar #USImperialism",negative,General Conflict,ruby israel make u story serve several purpose none honest deflects accountability administration order strike feed narrative u helplessness superpower supposedly drag war much small ally insult intelligence anyone pay attention recycles reactionary framework idea disproportionate israeli influence u foreign policy let washington hook question control answer look money weapon chain command,negative,-0.7777777777777778,0.7777777777777778
96,NOW PLAYING ==  This Week In #WhiteSupremacy | E271 - Trump’s War https://www.youtube.com/watch?v=Y1RZCj0ueUI&amp; #news #arts #culture #history #education #BlackMastodon  #antiracism #racism #storytelling  #LearnSomething #radio #vsn  #progressive #left  #1HoodMedia  #iranwar #trump #ramadan #iranwar  #UnwarrantedDefault #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist,neutral,General Conflict,play week trump war,positive,1.0,1.0
97,"Here's a question that goes unasked by dumbasses. Why should the nation committing genocide overthrow the nation resisting it? How is 'America' justified in anything, while Iran should be destroyed for existing? Haven't White people figured it out yet, after so many wars in their name, so much genocide to their shame, and for so little gain? You're the bad guys.https://indi.ca/dear-white-people-regime-change-begins-at-home/#usa #iran #iranwar #politics",negative,General Conflict,here question go unasked dumb ass nation commit genocide overthrow nation resist america justify anything iran destroy exist white people figure yet many war name much genocide shame little gain bad guy,negative,-0.7647058823529411,0.7647058823529411
98,"Some military advisors🚨warned Trump against the conflict. Sen Graham travelled sev times to #Israel in recent weeks, mtg with mems of IL's intel agency, &amp;🚨coached #Netanyahu how to lobby Trump for action -showed him: intel *persuaded Trump.He talked to MBS -so aware.🚨He likened IR's ldr to Hitler, IR was in a weak pos, reminded Trump of their efforts to assai him *this was his moment of make hist.LG/Rs: resp for: #IranWar, carnage, &amp; economic fallout‼️#Protest #USPolhttps://www.wsj.com/politics/policy/lindsey-graham-trump-iran-fa5f54f0",negative,Protest/Activism,military advisor police car light warn trump conflict sen graham travel see time recent week mtg mem intel agency police car light coach lobby trump action show intel persuade trump talk tomb aware police car light liken cdr hitler weak po remind trump effort assai moment make hustler resp carnage amp economic fallout double exclamation mark,negative,-0.1111111111111111,0.1111111111111111
99,"Report: US investigators say the US military probably carried out the double-tap strike that killed 165, mostly young girls, at an Iranian elementary school.A &quot;double-tap strike&quot; kills one group, then waits for medics &amp; other civilians - teachers, parents, neighbours, etc - to arrive in order to kill them as well.https://www.middleeasteye.net/news/us-investigators-say-american-strike-most-likely-responsible-iranian-school-massacre #USWarCrimes #USPol #EUPol #IranWar #IranSchoolAttack #news .",negative,Military Action,report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian teacher parent neighbours etc arrive order kill well,negative,-0.6666666666666666,0.6666666666666666
100,Only GOP's Warren Davidson &amp; Thomas Massie were the 2 voted FOR the Resolution against #IranWarWhile 4 DINOS (who must be replaced along with horrendous turncoat &amp; liar John Fetterman) voted AGAINST it:Jared Golden (ME)Greg Landsman (OH)Juan Vargas (CA)Henry Cuellar (TX)#MakeDINOsExtinct,negative,General Conflict,go warren davidson amp thomas massive vote resolution dino must replace along horrendous turncoat amp liar john letterman vote jared golden greg landsman juan vargas henry cellar,negative,-0.3333333333333333,0.3333333333333333
101,"&quot;Imperial blowback&quot;In 1953, Churchill &amp; his US counterparts &quot;launched a coup against the democratically elected Prime Minister of Iran, Mohammad Mosaddegh, because he was nationalizing the oil industry...&quot;&quot;... and when that [US-UK] regime was overthrown in the Iranian revolution in 1979, one of the main reasons that people gave for that revolution was the overthrow of  Mosaddegh in 1953...&quot;~George Monbiothttps://www.youtube.com/watch?v=eQ54eG4DjX0&amp;t=128s #USPol #UKPol #EUPol #IranWar #Imperialism #BigOil .",neutral,General Conflict,imperial blow backing churchill amp u counterpart launch coup democratically elect prime minister iran mohammad diego nationalizing oil industry usu regime overthrown iranian revolution one main reason people give revolution overthrow diego george mon,negative,-1.0,1.0
102,"""Iran rejects Trump’s demand for unconditional surrender as a ‘dream’Masoud Pezeshkian issues rare apology to neighbouring Gulf states for Iranian strikes as war enters eighth day."" #Iranwar https://www.theguardian.com/world/2026/mar/07/iran-trump-unconditional-surrender-war-masoud-pezeshkian",negative,General Conflict,iran reject trumps demand unconditional surrender dream aloud pee skin issue rare apology neighbour gulf state iranian strike war enters eighth day,negative,-0.6,0.6
103,"UPDATE @ 1435z, w/ many more freqs heard... and now I do spot 2 Iranian Bubble Jammers on 7470 &amp; 15750.3 kHz (note the Bubble Jammers are always off-freq, but Iran Intl is so far off 15750 too that they're only slightly beating!)  Many more freqs free of #jamming #shortwave #Iran #IranWar #WARINIRANRE: https://bsky.app/profile/did:plc:gzdjt2bb6zkdknijroh6tm6i/post/3mghpcmdlus2t",neutral,General Conflict,update many freq hear spot iranian bubble hammer amp khz note bubble hammer always freq iran far slightly beat many freq free,positive,1.0,1.0
104,"TRUMP, VANCE, RUBIO, HEGSETH, PATEL &amp; GOP HAVE FAILED USThey think they can bully 90M Iranians?""Don't send your sons to finish what politicians start""-US soldier in 1969The must see &amp; share best explanation of what is really happening with the #IranWarhttps://x.com/mluckovichajc/status/2029966931537580254?s=46&amp;t=hjYVjCqmaAvU8tWNPdknIA#IranWarChaos",neutral,General Conflict,trump vance rubin seth patel amp top fail u think bully iranians ont send son finish politician status soldier must see amp share best explanation really happen,positive,0.2,0.2
105,If the war isn't over by tonight or tomorrow then this will be the latest piece of concrete evidence (Amongst thousands)That trump is FULL OF SHIT#maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,negative,General Conflict,war int tonight tomorrow late piece concrete evidence amongst thousand trump full shit,neutral,0.0,1.0
106,"According to trump, #newsnation &amp; #FOXnews the U.S. is winningAccording to other U.S. mainstream #news the jury is still outAccording to some independent sources &amp; European &amp; middle eastern news it's far from over&amp; if true we'll be looking at tens if not hundreds of Billions of dollars#maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar",neutral,General Conflict,accord trump amp u win accord u mainstream jury still accord independent source amp european amp middle eastern news far amp true well look ten hundred billion dollar,positive,1.0,1.0
107,Saudi Counting on Embattled Pakistan to Help Stop Iranian Attackshttps://defensemirror.com/news/41267/Saudi_Counting_on_Embattled_Pakistan_to_Help_Stop_Iranian_Attacks#google_vignette#saudiiran #ARAMCO #IranWar #IranIsraelWar,neutral,Military Action,saudi count embattle pakistan help stop iranian attack,negative,-1.0,1.0
108,"NOW PLAYING == The Coffee Klatch with Robert Reich 3/7/26 - In With #Iran, Out With #KristiNoem ft. W. Kamau Bell  https://www.youtube.com/watch?v=pWzKLEiITN8 #news #uspol #geopolitics #iranwar #trump #commentary #progressive #left #RobertReich #Democrats #vsn #radio  #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist",neutral,General Conflict,play coffee klatch robert reich kama bell,neutral,0.0,0.0
109,"U.S. Special Forces, Kurdish Militants Preparing Ground Incursion into Iran: ReportsAt least nine MC-130J Commando II aircraft from the US Special Operations Command have arrived in the U.K.  https://defensemirror.com/news/41270/U_S__Special_Forces__Kurdish_Militants_Preparing_Incursion_into_Iran__Reports#CENTCOM #IranMassacre #IranIsraelWar #IranWar",neutral,General Conflict,u special force kurdish militant prepare ground incursion iran report least nine maj commando ii aircraft u special operation command arrive u,neutral,0.0,0.0
110,#MAPA.  ➡️. #MAGAMake America pedo again #maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,neutral,General Conflict,right arrow america pedro,positive,1.0,1.0
111,"Ten years ago, what I used to call my ""tinfoil hat theory"" -- because even to me it sounded a bit much -- was that a post-national 1% was consolidating its resources and preparing to abandon the general populace to things like economic collapse and climate disaster. And war, possibly. Yesterday this was #TimothySnyder  's analysis on the #iranwar :  https://open.substack.com/pub/snyder/p/the-oligarchical-corridor?utm_source=share&amp;utm_medium=android&amp;r=1cll5 #oligarchy",neutral,General Conflict,ten year ago use call tinfoil hat theory even sound bit much post national consolidating resource prepare abandon general populace thing like economic collapse climate disaster war possibly yesterday analysis,negative,-0.3333333333333333,0.3333333333333333
112,"Interview: &quot; We already are in a scenario where the US has lost control of this war&quot;&quot;Iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the US &amp; Israel.&quot;~Political scientist Vali Nasrhttps://www.aljazeera.com/video/the-bottom-line/2026/3/4/iran-war-redrawing-the-map-of-the-middle-east-israeli-style #USPol #EUPol #IranWar #USImperialism #news #USIsraeliCrimes .",neutral,General Conflict,interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,negative,-0.3333333333333333,0.3333333333333333
113,"Analysis: &quot;The Iranian Revolutionary Guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;Iran is fighting a techno-guerrilla war, [while] the US &amp; Israel fight a conventional one&quot;&quot;Quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. Not even Putin re Zelenskyy.https://www.juancole.com/2026/03/fighting-guerrilla-conventional.html #USPol #EUPol #IranWar #news .",neutral,General Conflict,analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure war tactic kill civilian leader war crime amp unprecedented modern warfare even putin teen key,negative,-0.14285714285714285,0.14285714285714285
114,"Report: US investigators say the US military probably carried out the double-tap strike that killed 165, mostly young girls, at an Iranian elementary school.A &quot;double-tap strike&quot; kills one group, then waits for medics &amp; other civilians to arrive in order to kill them as well.https://www.middleeasteye.net/news/us-investigators-say-american-strike-most-likely-responsible-iranian-school-massacre #USWarCrimes #USPol #EUPol #IranWar #IranSchoolAttack #news .",negative,Military Action,report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian arrive order kill well,negative,-0.6666666666666666,0.6666666666666666
115,"The White House went full Paul Verhoeven for this notorious Hollywood hearts Wars of Aggression video. But it got clicks, so its X account has been one tasteless video-edit after another ever since! https://xcancel.com/WhiteHouse/status/2029741548791853331#m#USPol #MAGA #GOP #Trump #IranWar #USA",negative,General Conflict,white house go full paul even notorious hollywood heart war aggression video get click account one tasteless video edit another ever since,negative,-1.0,1.0
116,Can anybody confirm this new is true?#Dimonanuclearsite#iranwar #IsraelUS,neutral,General Conflict,anybody confirm new true,neutral,0.0,0.0
117,The war’s toll so far on Iran’s military and leadershipCAIRO (AP) — The U.S. and Israel are striking a much wider array of targets in Iran than…#NewsBeep #News #BreakingNews #AliKhamenei #APTopNews #Bombings #breakingnews #Generalnews #Iran #Irangovernment #iranwar #Israel #Israelgovernment #Manufacturingsector #MIDEASTWARS #Militaryanddefense #Protestsanddemonstrations #Tehran #Warandunrest #Worldnewshttps://www.newsbeep.com/422793/,negative,Protest/Activism,war toll far iran military leadership cairo u israel strike much wider array target iran,negative,-1.0,1.0
118,"Dear magats, happy to see felon Don's TrumpEpstein War is skyrocketing your beloved car gas prices?! 🚙 ⛽  https://www.reuters.com/business/energy/us-pump-prices-surge-iran-war-upends-global-energy-supply-2026-03-07/ 📉📈 #soMuchWinning 🤣 #TrumpEpsteinWar #IranWar #gasoline #diesel #pumpprices #gasprice #trump #netanyahu #maga #gop #republicans #TrumpEpsteinFiles #Iran #netanjahu #Epsteinfiles #magats #Benzinpreis",neutral,General Conflict,dear mag at happy see felon don trump epstein war skyrocket beloved car gas price sport utility vehicle fuel pump chart decrease chart increase roll floor laughing,negative,-0.2,0.2
119,"RE: https://journa.host/@ScottLucas/116188138466644158Panel discussion alongside Gen. Sudhakar Jee and Prof. Swaran SinghHighlighting #Trump Admin rejection of mediation by #Qatar, seeking a return to US- #Iran talks, but questioning if it has a ""Plan B"" for ""regime capitulation""#IranWar #Israel",neutral,General Conflict,discussion alongside gen sud dakar see prof saran sing highlight admin rejection mediation seek return u talk question plan regime capitulation,negative,-1.0,1.0
120,EA on International Media: US and #Israel Expand Their Wars in #Iran and #Lebanon — But How They Will End Them?#IranWar #Trump #SaudiArabia #UAE #Bahrain #Kuwait #Oman #Lebanon https://eaworldview.com/2026/03/us-and-israel-wars-iran-and-lebanon-but-how-they-will-end-them/,neutral,General Conflict,international medium u expand war end,neutral,0.0,0.0
121,"RE: https://journa.host/@ScottLucas/11618808654461801650-min analysis* #Trump threatens next war in #Cuba during current #IranWar*White House social media's insults, trolling, and lies* #Formula1 's challenge w spring races in Gulf* UK Govt bashes #AsylumSeekers again* #BBC 's funding issues in era of streaming and VPNs",negative,General Conflict,analysis threaten next war current white house social medias insult troll lie challenge spring race gulf u govt bash fund issue era stream van,negative,-1.0,1.0
122,EA on Times Radio: Week in Review --- #Trump Threats from #Cuba to #Iran to US; F1's Gulf Dilemma; UK's Latest Anti-Asylum Blast; Future of #BBC (Scott Lucas with Olly Mann)#Formula1 #Israel #IranWar #AsylumSeekershttps://eaworldview.com/2026/03/trump-threats-from-cuba-to-iran-to-the-us-f1s-gulf-dilemma-uks-latest-anti-asylum-blast-future-of-the-bbc/,neutral,General Conflict,time radio week review threat u gulf dilemma u late anti asylum blast future scott lucas mann,negative,-1.0,1.0
123,Brighty @Brighti on #Trump #MarcoRubio #KeirStarmer #IranWar @TheSun – political cartoon gallery in London original-political-cartoon.com,neutral,General Conflict,bright political cartoon gallery london originalpoliticalcartooncom,positive,1.0,1.0
124,Donald Trump’s decision not to refill the Strategic Petroleum Reserve drained by his predecessor Joe Biden has left consumers exposed to an oil price shock following US and Israeli attacks on Iran. 😆https://www.ft.com/content/d546fd5b-4a0c-4b90-8bee-9e85b75458ed#usa #iran #iranwar #news,negative,Military Action,donald trump decision refill strategic petroleum reserve drain predecessor joe biden leave consumer expose oil price shock follow u israeli attack iran grin squint face,negative,-0.2,0.2
125,#iranwar #IsraelTerroristState #antiZionist,neutral,General Conflict,,neutral,0.0,0.0
126,"You, @habitsofwaste.bsky.social, wrote: &quot;The president himself said we are at war.&quot;Yes, but in Donald Trump&#39;s defense, he is known to lie very often. Not this time, but very often. #IranWar",negative,General Conflict,ask social write president say ware donald trumps defense know lie often time often,negative,-1.0,1.0
127,What was that you said????...Oh...You must listen to #newsnation#maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,neutral,General Conflict,say must listen,neutral,0.0,0.0
128,"Nicholas Kristof wrote about the #IranWar: &quot;Pres. Trump and Prime Minister Benjamin Netanyahu of Israel, the architects of this war, both seem afflicted by the arrogance of power&quot;: https://www.nytimes.com/2026/03/07/opinion/iran-war-trump.html &quot;A president’s first task is to make us safer. Instead, it seems to me that Trump has catapulted us into an unnecessary conflict, consuming American and Iranian lives alike, costing billions of dollars and damaging the economy — all while propelling us into peril.&quot; #politics #UnnecessaryWar",negative,General Conflict,nicholas kris write pres trump prime minister benjamin tanya israel architect war seem afflict arrogance power president first task make u safe instead seem trump catapult u unnecessary conflict consume american iranian life alike cost billion dollar damage economy propel u peril,negative,-0.3333333333333333,0.3333333333333333
129,Data Centres Become Targets as Digital Infrastructure Enters Middle East Conflict#AWS #DataCentres #MiddleEast #IranWar #AusNewshttps://thedailyperspective.org/article/2026-03-07-data-centres-become-targets-as-digital-infrastructure-enters-middle-east-conflic-e4704193,neutral,General Conflict,data centre become target digital infrastructure enters middle east conflict,negative,-1.0,1.0
130,"🇺🇦 Ukrainian manufacturers of cheap interceptor drones designed to knock out enemy unmanned aerial vehicles say they have the capacity to export in large volumes, amid enquiries from the United ​States and Middle East prompted by the #Iran war.https://www.reuters.com/business/aerospace-defense/ukraines-interceptor-drone-makers-look-exports-gulf-iran-war-flares-2026-03-07/#ukraine #iranWar",neutral,Military Action,ukraine ukrainian manufacturer cheap interceptor drone design knock enemy unmanned aerial vehicle say capacity export large volume amid enquiry united state middle east prompted war,negative,-1.0,1.0
131,Israel fires &#39;broad-scale&#39; strikes on Tehran as war hits second weekIsrael announced a new wave of &quot;broad-scale&quot; strikes on Tehran on Saturday as the escalating war in the Middle East entered its second week and oil prices surged on fears about global supply disruption.https://www.rfi.fr/en/international/20260307-israel-fires-broad-scale-strikes-on-tehran-as-war-hits-2nd-week#IsraelNews #News #Tehran #IranNews #IranWar #Israel #Iran,negative,General Conflict,israel fire broad scale strike tehran war hit second week israel announce new wave broad scale strike tehran saturday escalate war middle east enter second week oil price surge fear global supply disruption,negative,-1.0,1.0
132,"Interview: &quot;Iran’s military prowess &amp; America’s &amp; Israel’s impulsive imperial hubris, are on display.&quot;Detailed analysis of:* Why the US went to war;* Iran&#39;s miltary strategy;* US &amp; Israeli goals &amp; flawed assumptions* effect of the war on global resource flow&quot;A huge amount of global oil &amp; gas passes through the Strait of Hormuz, particularly for Europe. It&#39;s already starting to affect the oil price.&quot;~Alastair Crookehttps://www.youtube.com/watch?v=YL8rXeNkXsQ #USPol #eupol #IranWar #USImperialism .",neutral,General Conflict,interview iran military prowess amp america amp israel impulsive imperial hubris display detail analysis u go war iran military strategy u amp israeli goal amp flaw assumption effect war global resource flow huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke,negative,-0.5,0.5
133,"I do hope Kevin is being sarcastic. Otherwise, he’s simply another MAGA dipshit. #IranWar",negative,General Conflict,hope kevin sarcastic otherwise hes simply another manga dip shit,negative,-1.0,1.0
134,"RE: https://journa.host/@ScottLucas/116186718091385958#Israel Defense Forces repeat warning to all civilians in southern #Lebanon to evacuateIDF, which has also demanded the evacuation of southern suburbs of #Beirut, estimates that 420,000+ Lebanese civilians have fled their homes#IranWar",neutral,General Conflict,defense force repeat warn civilian southern evacuate also demand evacuation southern suburb estimate lebanese civilian flee home,negative,-1.0,1.0
135,This is going to be awkward. I#USpol #IranWar “Can't wait for the latest update on the new ballroom. Hope we hear about the drape selection.” - Jim Wright,neutral,General Conflict,go awkward cant wait late update new ballroom hope hear drape selection jim wright,negative,-1.0,1.0
136,The Latest: Israel hammers Beirut and Tehran as Iran fires missiles at Israel and the GulfIran’s president rejected a demand by the United States for an unconditional surrender on Saturday and apologized for…#NewsBeep #News #BreakingNews #130850695 #Article #breakingnews #Generalnews #iranwar #Israel #Warandunrest #Worldnewshttps://www.newsbeep.com/422728/,negative,Military Action,late israel hammer beirut tehran iran fire missiles israel gulf rank president reject demand united state unconditional surrender saturday apologize,negative,-0.3333333333333333,0.3333333333333333
137,"RE: https://journa.host/@ScottLucas/116186718091385958#Israel Defense Forces: Our special forces carried out raid in southern #Lebanon to locate remains of Lt. Col. Ron Arad, whose plane went down during bombing mission in 1986Witnesses say 26 Lebanese killed when Israelis l anded 4 helicopters in town of Nabi Chit in eastern Bekaa valley#IranWar",neutral,General Conflict,defense force special force carry raid southern locate remain col ron arad whose plane go bomb mission witness say lebanese kill israeli land helicopter town nazi chit eastern begin valley,negative,-1.0,1.0
138,"A US-sanctioned tanker blacklisted for handling Iranian liquefied petroleum gas crossed the Strait of Hormuz on Friday, one of only a handful of vessels to make it through the waterway in recent days.https://finance.yahoo.com/news/us-sanctioned-gas-tanker-sails-102954007.html#iran #iranwar #news #hormuz",neutral,General Conflict,unsanctioned tanker blacklist handle iranian liquefy petroleum gas cross strait hormuz friday one handful vessel make waterway recent day,neutral,0.0,0.0
139,"RE: https://journa.host/@ScottLucas/116186718091385958Energy Minister of #Qatar, which is seeking an end to #IranWar: Conflict could “bring down economies of world” with Gulf energy exporters shutting down production and the price of oil rising to $150 a barrelEven if war ends, will take Qatar “weeks to months” to return to normal cycle of deliveries",neutral,General Conflict,minister seek end conflict could bring economy world gulf energy exporter shut production price oil rise barrel even war end take qatar week month return normal cycle delivery,negative,-1.0,1.0
140,"The Iran conflict could pose additional challenges for some emerging-market sovereigns through channels such as energy imports, remittances, fiscal subsidies, exchange rates, and access to international finance...https://dmarketforces.com/iran-conflict-raises-new-credit-risks-for-emerging-market-sovereigns/#IranWar #EmergingMarket",neutral,General Conflict,iran conflict could pose additional challenge emerge market sovereign channel energy import remittance fiscal subsidy exchange rate access international finance,negative,-1.0,1.0
141,The Illusion of Maritime Transparency  https://peer.adalta.social/w/kmZCpNjCD14MuavyshpqR3,neutral,General Conflict,illusion maritime transparency,negative,-1.0,1.0
142,US automakers can still change their minds about EVs...https://cleantechnica.com/2026/03/06/us-battery-makers-gave-up-waaaaay-too-soon-on-ev-sales-but-they-have-a-backup-plan/#evs #electricvehicles #iranwar #iran #war #gasoline #fuel #energy #gasprice #priceofgas #painatthepump #ford #gm #federalreserve #banks #banking #us #energypolicy #evsales #usedevs #sustainable #sustainability,neutral,General Conflict,u automaker still change mind eve,neutral,0.0,0.0
143,US automakers can still change their minds about EVs...https://cleantechnica.com/2026/03/06/us-battery-makers-gave-up-waaaaay-too-soon-on-ev-sales-but-they-have-a-backup-plan/#evs #electricvehicles #iranwar #iran #war #gasoline #fuel #energy #gasprice #priceofgas #painatthepump #ford #gm #federalreserve #banks #banking #us #energypolicy #evsales #usedevs #sustainable #sustainability,neutral,General Conflict,u automaker still change mind eve,neutral,0.0,0.0
144,The data never lies!(Narrator: the data lies)https://www.marinetraffic.com/en/ais/home/centerx:53.812/centery:24.694/zoom:16#ais #spoofing #jamming #IranWar,neutral,General Conflict,data never lie narrator data lie,positive,0.3333333333333333,0.3333333333333333
145,"Hmm, I hope this flight path was a spoof, not the real thing. (UAE5V, if it was a real flight, at -250ft barometric altitude before signal loss at the edge of Iran airspace). I guess I'll go look up the overnight news. (Looks like missing data and this plane landed at DXB, after some crazy crazy descent pattern)https://globe.adsb.fi/?icao=8960f7,8964b1#UAE5V #aviation  #IranWar",neutral,General Conflict,hmm hope flight path spoof real thing real flight barometric altitude signal loss edge iran airspace guess ill go look overnight news look like miss data plane land dub crazy crazy descent pattern,negative,-0.6,0.6
146,Must be Saturday. Such cheerful news.https://nymag.com/intelligencer/article/the-future-of-war-is-drones-bombing-data-centers.html#iranwar #ai #datacenter  #claude #aws,positive,Military Action,must saturday cheerful news,positive,1.0,1.0
147,"At 1110z Sat Mar 7, weird... I can't find ANY Iranian Bubble Jammers on #shortwave 😮  15750.3 17900 Iran International and 17840 Radio Farda are all unjammed!  9365 Farda is barely audible but I don't see any more carriers there either  No sig on 5860 in daytime  Game over? #Iran #IranWar #WARINIRAN",neutral,General Conflict,sat mar weird cant find iranian bubble hammer face open mouth iran international radio garda unnamed garda barely audible do see carrier either sig daytime game,negative,-1.0,1.0
148,"Iran&#39;s president apologizes to neighbors, defies US demandsIran&#39;s president apologized for attacks on regional countries but kept up criticism of America. His comments come as Iranian missiles and drones continue to fly toward Israel and Gulf Arab states. DW has the latest.https://www.dw.com/en/iran-s-president-apologizes-to-neighbors-defies-us-demands/live-76256213?maca=en-rss-en-all-1573-rdf#Khomeini #IranWar #News #IranNews #Iran #USANews #USA",neutral,Military Action,iran president apologize neighbour defy u demand rank president apologize attack regional country keep criticism america comment come iranian missile drone continue fly toward israel gulf arab state late,negative,-1.0,1.0
149,"Interview: &quot;America’s War for Greater Israel&quot;Mouin Rabbani unpacks:* the explosive new documents exposing Israel’s systematic ethnic cleansing in 1948;* Trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether Tehran’s bombing of Gulf states is a strategic miscalculation;* how Israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval.https://www.middleeastmonitor.com/20260303-americas-war-for-greater-israel-palestine-this-week-with-mouin-rabbani/ #USPol #EUPol #IranWar #USIMperialism .",negative,General Conflict,interview americas war great israel ruin rabbi unpacks explosive new document expose israel systematic ethnic cleanse trump top diplomacy moment negotiation gain traction whether tehran bomb gulf state strategic miscalculation israel unending quest security fuel decade expansion war amp regional upheaval,neutral,0.0,1.0
150,"RE: https://journa.host/@ScottLucas/11618749366824414230-min analysis#Ukraine gains in #Zaporizhzhia after #Russia loses #StarlinkPositive changes in #Zelensky Govt, e.g. #Fedorov and #Budanov, to deal w invasion and w corruptionEffect on #UkraineWar of US- #Israel war on #Iran#IranWar",neutral,General Conflict,analysis gain lose change govt leg deal invasion corruption effect u war,negative,-0.3333333333333333,0.3333333333333333
151,"I'm Rania from Gaza 🇵🇸A mother of four children. My husband and daughter are injured, and we have no income.We are living in very hard conditions, and this link is our only hope.Please donate or share. Your kindness can help us survive. 🙏💔https://gofund.me/d0cc0587#Gaza #palestine #genocide #Israel #freepalestine #save_gaza_children #SupportGaza #Humanity #Muslim #Ramadan #StopTheGenocide #fediAid #iran #Gaza #Israel #IranWar #Iran",negative,General Conflict,mania gaza palestinian territory mother four child husband daughter injured income live hard condition link hope please donate share kindness help u survive folded hand broken heart,negative,-0.5,0.5
