cleaned_text,ground_truth,prediction,confidence
radar base housing key u missile interceptor hit jordan saudi arabia use satellite image show party popper,neutral,neutral,0.825
kind supreme leader would montana karen washington institute,neutral,neutral,0.785
iran international,neutral,neutral,0.63
israeli troop push lebanon yet another war iran proxy hezbollah bic see troops tank mass near border speculation mount israel plan full scale ground invasion fight hezbollah,negative,negative,0.545
dan manga report whats drive push war production president trump meet defense co quadruple exquisite class weaponry output due iran conflict munition stockpile concern understand decision crucial see manga full report,neutral,neutral,0.6
listen short piece kyle kolinsky he mention barrel oil push guess open nation hop push barrel grateful live walking distance every single one basic need change reality entire economy affect energy price drive really deeply fucked welcome reason car free good idea,negative,negative,0.69
wop mobilize keep food move middle east conflict escalate world food programme,neutral,neutral,0.56
estimate iran missile launcher take,neutral,neutral,0.505
would boost next level shit far war propaganda go require content warning,negative,negative,0.675
steven cam ley political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.875
khz another programming time sound analytical plenty mention trump extensive soundbites translate via egyptian time use co channel canceller keep nam check,neutral,neutral,0.9
peter brooke donald kerr political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.92
desire depopulate settle iranian territory way palestinian lebanese land policy collective punishment entire population much call twelve day war june last year,neutral,neutral,0.62
int nobel prize war crime think time one go collect bunch mask thug drag hague,negative,negative,0.57
u israel war iran could end middle east tourism boom tourism industry arabian peninsula experience remarkable growth recent year u israeli war iran retaliatory strike across gulf state border slow momentum,neutral,neutral,0.55
open pandora box world without law accountability powerful expect china take taiwan long ago seem unlikely surprising do soon plan ready go impediment shy away human cost do think china worry casualty war criminal,negative,negative,0.56
khz iris radio usher appear still run program instead compulsory midnight news iris radio iran face open mouth weak signal,neutral,neutral,0.855
u bomber bone hit mph carry missile land u,neutral,neutral,0.655
greenpeace map oil tanker trap strait hormuz one tanker already report explosion carry oil five fully load tanker carry total billion litre oil anchor vicinity,neutral,neutral,0.75
leaked account meeting national security council csc expose british labour government detail advance knowledge u israeli assault iran,neutral,neutral,0.665
right radio garda time arm roll floor laugh iranian bubble jammer remains,neutral,neutral,0.855
united nation dive unlawful attack middle east beyond cause tremendous suffer harm civilian throughout region pose grave risk global economy particularly vulnerable people situation could spiral beyond anyone control time stop fight get serious diplomatic negotiation stake could higher antonio gutierrez united nation secretary general,neutral,neutral,0.685
ship u torpedo nowhere near war zone unarm u know cowardly blood lust trump u run bunch toddler cant resist firing weapon never imagine charge next tactical nuke limit dangerous wanker could,negative,negative,0.575
greenpeace map oil tanker trap strait hormuz one tanker already report explosion carry oil five fully load tanker carry total billion litre oil anchor vicinity mapsgreenpeaceorgmapsgpdehooil tanker trap str,neutral,neutral,0.725
reaction read whats happen tehran sound like gaza hospital residential neighbourhood get bomb food scarce hell align rationale give start war gift link,negative,negative,0.775
ben jennings political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.925
periodic reminder anger gift especially do let consume let start global revolution,neutral,neutral,0.685
flee private something point,neutral,neutral,0.725
khz iran international completely miss hour inactive obviously daylight hour thing actually freq face raise eyebrow jamming,negative,neutral,0.725
trump buddy putin give assistance iran war effort provide intel u military target chiron chicken come home roost put mildly,negative,negative,0.64
trump buddy putin give assistance iran war effort provide intel u military target chiron chicken come home roost put mildly,negative,negative,0.64
told trump want rename iran call trumping would even surprise,neutral,neutral,0.6
wealthy dubai resident stick abroad race back use,neutral,neutral,0.775
fuel price surge since start iran war,negative,negative,0.665
oil expensive one month due trump illegal war u mortgage rate already rise inflation sure follow brake trade business confidence energy price hike certain economic doom spiral start bic confirms u bomb school hospital cultural site war crime upon war crime walk u right kowtow trump prosecute,negative,negative,0.675
marina hyde nail course,neutral,neutral,0.86
u applaud israel know good didst know good,neutral,neutral,0.665
russia aid iran intelligence u military asset,neutral,neutral,0.67
well oil price moon shot continue today job report disastrous trump keep digging iranian blow tanker likely u agency create reinsurance facility gulf ship happens use taxpayer money reimburse ship owner middle finger light skin tone middle finger light skin tone middle finger light skin tone,negative,negative,0.605
trump deal iran unconditional surrender,negative,negative,0.615
push pm hurry corner get cut life get lose plan well good approach real solution also do start war ready well yet do start war full stop,negative,negative,0.64
result brewster buffalo wii fighter plane quickly earn nickname fly coffin also result say often cite family good enough govt work sardonic joke carry doubt grandpa work brewster,neutral,neutral,0.75
trump call contractor speedily fulfill need munition def do know wii history brewster premier maker auto body tell cut cost lose contract disastrous effect,negative,negative,0.635
card,neutral,neutral,0.845
war iran change late epstein file story wont go away trump despite best effort distract u late ricochet across internet include president canon base justice department apparently try hide file public lead many people ask know truly bad,negative,negative,0.785
report china provide military equipment iran signal deeper support russia china war u israel robert lansing institute,neutral,neutral,0.51
something go terribly wrong system check balance police car light lawmaker frighten president demand anonymity say police car light police car light police car light worry lotus may trigger doomsday launch poorly plan war day,negative,neutral,0.52
sardonic joke carry doubt grandfather work brewster push pm hurry corner get cut life get lose plan well good approach real solution also do start war ready well yet do start war full stop,neutral,negative,0.56
trump call contractor speedily fulfill need munition def do know wii history brewster premier maker auto body tell cut cost lose contract disastrous effect result brewster buffalo wii fighter plane quickly earn nickname fly coffin also result say often cite family good enough govt work,neutral,neutral,0.7
via farsi miss face scream fear miss miss carry radio garda instead least still vow iranian bubble jammer actually,neutral,neutral,0.63
christian adams political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.935
look radio garda likely stay permanently via kuwait relay nearby via uzi keep change freq evade ago attract bubble jammer jam,neutral,neutral,0.89
wartime role iran axis counter proxy terrorist threat washington institute,neutral,neutral,0.605
world iranian child final recount strike break heart kill world brother amp teacher mother clash report state carry police car light image show large crowd mourner final weeping appear body wrap white shroud image release state medium tues show individual prepare broken heart coffin draped iranian flag bearing photographs child must resign trump impeach double exclamation mark,negative,negative,0.645
trump demand final say select iran future leader trump administration official previously deny regime change goal war iran,negative,negative,0.555
radar base housing key u missile interceptor hit jordan saudi arabia use satellite image show,neutral,neutral,0.785
khz studio thessaloniki greece alone freq greek music id al amp iris radio polestar miss,neutral,neutral,0.94
iraqi publicly oppose u plan support cross order incursion iranian kurdish pusher western iraqi territory must use launch point attack neighbour country,negative,negative,0.635
iran spent year foster proxy iraq many agent eager join war reuters,negative,negative,0.57
operational secrecy keep u make evacuation plan mean american mideast could wait day,neutral,neutral,0.71
family appear transnational crime network profit war iran war remind one epstein maxwell many people tie also tie war sarah ken dior world order,neutral,neutral,0.57
see unconfirmed report destroy huge expensive radar system central patriot police car light foreign policy casually confirm say police car light take yrs rebuild amp another destroyed take month replacer seymour police car light hrs u israeli campaign asst consume precision guide munition amp interceptor expose critical vulnerability,negative,neutral,0.615
amazon outage report customer complain price issue problem checkout war ignore epstein file iran target data centre,negative,negative,0.61
high commission human right turk concern airstrikes force evacuation serious concern international humanitarian law particular come issue around force transfer estimate people flee home,neutral,neutral,0.475
situation like war iran make sacrifice right,neutral,negative,0.545
update adios poem amp lewandowskipam bond subpoenaed distraction work case cook county thrown economy crash casualty accurate,neutral,neutral,0.755
update adios poem amp lewandowskipam bond subpoenaed distraction work case cook county thrown economy crash casualty accurate,neutral,neutral,0.755
russia provide iran intelligence location movement american troop ship aircraft accord multiple people familiar u intelligence report issue first indication moscow seek get involve war,neutral,neutral,0.5
khz new likely via yerevangavararmenia think idea radio iran arad fair signal less arm de nam holy quran egypt capture live stream play button youtubecomliveafzwyj live iran war monitoring,neutral,neutral,0.805
khz iran international miss freq flush face much area bic english via oman east africa,neutral,neutral,0.765
partisan radio rosetta selection,neutral,neutral,0.87
top world back scott lucas sasha far bach,neutral,neutral,0.86
warn unidentified u arm force burn iraqi man vehicle desert,negative,negative,0.53
middle east experience decade conflict shape global power struggle iraq syria gaza iran civilian repeatedly find trapped war never choose current military campaign israel united state already cause massive casualty damage across iran business standard many critic raise uncomfortable truth big victim geopolitical conflict almost always ordinary people,negative,negative,0.575
khz another additional radio garda freq seem tashkent one arm strong cd khz moment right radio garda heard follow freq indicates,neutral,neutral,0.935
plan come iran care death destruction mean end end pause follow would nothing breath one wave suffer next,negative,negative,0.71
guardian u lose job february trump join iran conflict plus epstein file,neutral,neutral,0.71
current internet shutdown iran day small amount traffic continue trickle iran white list individual service everyone else almost connectivity whatsoever,negative,negative,0.61
change department defense department war insist agent actually war top congress even lot demo happy go along farce run interceptor missile start take high casualty sure always,negative,negative,0.745
wait pay trump declare war moon,neutral,neutral,0.675
israel expand war iran order mass displacement lebanon world socialist web site,negative,negative,0.445
okay iran manages strike u territory far likely trump domestic false flag attack make shore political support u likely blown maybe rest white house finish golden palace maybe new york california reduce number democratic voter maybe statue liberty symbolism suggestion think,negative,neutral,0.505
health ministry people kill injured attack since monday,negative,negative,0.585
president pee skin country begin mediation effort end u war talk address start deal iran except unconditional surrender selection great amp acceptable leader,neutral,neutral,0.61
do think u medium make nearly enough noise u navy sink unarmed iranian warship clear violation geneva convention leave drown heinous war crime medium would rightly arm country want nominally ally do,negative,negative,0.635
cry hard american asset come next election gotten go green maybe people leak whole fascist shit show try enable disagrees sellout fuck,negative,negative,0.725
must cease attack whf tell orange buddy start unnecessary war go fuck gut guess disappointment need leader like agent puppet,negative,negative,0.63
middle east missile defense shield could collapse day weight sustain conflict current interceptor stockpile could exhaust little four seven day trigger saturation scenario,neutral,neutral,0.685
iranian israeli strike war enters seventh day iran war spread across middle east beyond entered seventh day israeli force announce next phase conflict bomb beirut southern suburb,negative,negative,0.49
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian arrive order kill well,negative,negative,0.76
bic oil price jump qatar warn gulf production could stop within day,negative,negative,0.645
international medium u expand war end,neutral,neutral,0.69
khz new frequency radio garda khz audio bandwidth like likely via kuwait use strongly dry arm super darn unrelated,neutral,neutral,0.9
seek safe passage energy shipment global oil supply face major disruption,neutral,neutral,0.65
bomb fall city victim politician general family child doctor teacher worker try live live report iran conflict suggest even medical facility civilian area affect strike guardian people across world question whether war driven political interest ever truly justified humanitarian cost high,negative,negative,0.775
donald trump go manga mega post vow make iran great,neutral,neutral,0.7
surge past rule negotiation tehran face leadership vacuum,neutral,neutral,0.605
khz monologue arabic rather low modulation akin voice transmission flush face incidentally live find iris arabic khz miss move,neutral,neutral,0.855
acc u sink iranian ship raise question legality sink iranian warship tuesday u submarine thousand mile war zone international water raise question whether attack legal rule war,neutral,neutral,0.73
qatar police car light expect gulf energy producer shut export within week amp drive oil barrel energy min say alkaabieverybodypolice car light hast call force maj eure expect next day continue exporter gulf region call force make urea barrie gulf exporter start declare force make police car light become physical supply crisis global comm stock cover week right arrow brent alkali,neutral,neutral,0.585
remember temp idiot mad man think happen iranian create condition ultimate taco trump always chicken,neutral,neutral,0.735
united nation police car light break declares middle east crisis major humanitarian emergency right arrow director emergency atari ito say conflict trigger significant population movement across region southwest asia nearly million people affected area already refugees internally displaced recent returnees place additional strain fragile host country,neutral,neutral,0.505
begin illegal war help oligarchs oligarchs newspaper full praise military us indeed illegal war,negative,negative,0.715
shock amp awe didst work iraq either political elite washington hat iranian government year thorn side u interest region u petroleum company bear much blame want get iran amp develop petroleum amp cant long government,negative,negative,0.59
analysis iran measure success would battlefield conquest turn war chronic dilemma washingtonian need raise cost prolong timeline amp widen theatre confrontation multi front crisis increasingly difficult control u experience iraq amp afghanistan military superiority without political victory,neutral,neutral,0.595
interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,neutral,neutral,0.775
kerensky highlight moral amp strategic poverty police car light u trump last year trump end military aid undermine ukrainian air defense try bully ukraine hand territory police car light roll red carpet u desperate ukrainian help trump admin police car light incompetent defense matter amp know chance trump decency say thanks brief,negative,negative,0.64
report insight,neutral,neutral,0.66
red circle live stream ukraine iran amp fracture world rise red circle live stream geopolitics news calendar etc start,neutral,neutral,0.615
keep say trump vance rubin amp seth give shit many soldier die incompetence amp stupidity look arrow make ultimate sacrifice return home,negative,negative,0.695
fanatical religious regime threaten world u,negative,negative,0.54
u already go patriot missile day attack iran make available year supply ukraine fight russia think say need know,neutral,negative,0.61
power price europe swing wildly free sunlight expensive jason march day head price denmark swung per mph pm almost pm less four hour later price netherlands jump period similarly large swing belgium germany need way grid storage,neutral,neutral,0.825
woke still war still crazy people white house provoke escalation even high level still congress ball stop say crazy person scotus limit insanity hearty fuck bitch decide voting best interest know,negative,negative,0.765
provide target information attack american force middle east st indication another major u adversary participate even indirectly war trumps ally north korea argentina putin betray gulf state livid macron aid la spain refuse american must rise amp work remove regime global sink deep,negative,negative,0.625
one key component usher deal middle east united arab emirate publish disdain u strike iran slap trump failure understand impact stability region long say usher fully understand viper deal nothing gnat tool reality may soon come strike,negative,negative,0.455
need pay right poor marginalise child etc go makeup do fall sleep do get numb do let overwhelm shock awe time rage machine wake keep awake,negative,negative,0.74
minister nawab salem drag abyss conflict seek choose mid massive force displacement southern lebanon south situation grave responsibility high,neutral,neutral,0.72
day israel lose america photo daniel white house handout year february might remember day israel finally,neutral,neutral,0.57
military personnel live lose cost terror time ask pres donald trump whether citizen worried retaliatory attack american soil follow iran strike shrug guess reply,neutral,neutral,0.605
vessel traffic strait hormuz drop average ship day two hour thursday joint maritime information center report,neutral,neutral,0.825
know right lucifer case believe right,neutral,neutral,0.695
gramme band ira political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.865
russia provide iran intelligence target u force official say violin,neutral,neutral,0.545
brit arrive home say dubai like band still play titanic sank,neutral,neutral,0.76
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian arrive order kill well,negative,negative,0.76
washington western ally may privately uncomfortable visibly associate another illegal u israeli war support two year genocide gaza already make pact devil go back plan war iran year everything else smoke screen middle east eye,negative,negative,0.73
question american proud,neutral,neutral,0.795
decade critic warn military intervention middle east create instability rather solve problem current strike iran israel united state already kill large number people risk expand conflict across region business standard history show violence often lead violence create cycle become hard break every new war,negative,negative,0.42
late paper,negative,negative,0.65
another early morning cut get wiz cant seem turn brain wish could predict could pop melatonin get back sleep keep brain occupy well let see gesture world,neutral,neutral,0.62
break european union let kerr starter know could always rejoin union,neutral,neutral,0.7
iran launch wave missile strike deputy pm warns total war delhi summit,negative,neutral,0.565
ireland tonight show need support gulf state attempt de escalation u war iranian retaliation zone uncertainty much could escalate,neutral,neutral,0.62
international medium next u kill,neutral,neutral,0.72
war still aggressors war choice choice take without europe table make language europe respond aggressor unsettle week good week bad week newsletter europe response escalate conflict middle east,neutral,neutral,0.495
hama want impose unique style democracy,neutral,neutral,0.765
antiwar demonstration saturday protest cyprus involvement,neutral,neutral,0.795
bic question time bskysocialbridgy u drag u israel war iran full video u drag,neutral,neutral,0.715
defense force carry broad scale wave strike daniel area southern overnight target include command center executive council facility store drone attack israel,neutral,neutral,0.62
trump urge iranian kurd attack iran war widen israel say start broad scale wave attack infrastructure target tehran,negative,negative,0.655
u bomb iranian drone carrier ship,negative,negative,0.515
epstein file claim trump release u justice department wonder want start war,negative,negative,0.52
sustain disruption traffic hormuz would simply constitute energy crisis would also represent fertiliser shock price go dramatically supply go extension direct risk global food security iran war could create fertiliser shock often ignore global risk food price farming,neutral,neutral,0.66
seven day war last night first without single launch iran,neutral,neutral,0.635
israeli strike hit iran lebanon u target iranian warship fleet dubai,neutral,neutral,0.52
map show dwindle ship strait hormuz since iran attack,neutral,neutral,0.68
iran war oil shock threaten unleash wave global inflation,negative,negative,0.6
police car light tehran attack tehran हमलरपरटस आशकदनय ask voice,neutral,negative,0.505
iranian parliament member national security commission threaten live state television execute anyone defies regime include child child dare say word support enemy death sentence issue say,negative,negative,0.755
suffer civilian war new story middle east city destroy million displace entire generation force grow conflict zone late strike iran add another chapter tragic history report hundred kill thousand wound washington postman voice around world demand global power prioritize diplomacy instead military escalation,negative,negative,0.5
scene southeastern tehran chaotic group teenage girl sit roadside face blank people run past woman hurriedly shove belonging car carefully place cage two cockatiel bird passenger seat others rush back damage apartment grab document electronics valuable,neutral,neutral,0.73
war often present necessary action reality always brutal bomb drop city distinguish soldier civilian critic argue israeli strike support united state intensify suffer iran push region closer wide war day violence continue innocent life lose world stay silent people die conflict driven political interest,negative,negative,0.76
say u military warns shortage interceptor protract missile drone retaliation receive request united state specific support protection give instruction provide necessary mean,neutral,neutral,0.675
irish independent podcast year u relation minute scott lucas fiona shea han,neutral,neutral,0.815
within hour u israeli airstrikes kill iran supreme leader ayatollah ali karen tehran impose near total internet shutdown cut million people journalist rely van starling smuggle video risk arrest even execution new espionage law backhand index pointing,negative,negative,0.755
remove religious lunatic power hat video white house yesterday via olga nest nova,negative,neutral,0.68
sri lanka bring iranian sailor ashore ship seek help colombo sri lanka sri lanka begin transfer sailor iranian vessel,neutral,neutral,0.79
heavy attack hit tehran israeli strike pound beirut follow live coverage development middle east war enters seventh day,negative,negative,0.66
indonesia catch u alliance muslim anger iran war,negative,negative,0.49
examine origins discern get inkling something rather different close domain international oligarch exploit state power patriotic sentiment create world order american state much weak simply cease function oligarchical corridor,neutral,neutral,0.675
turkey fear pick bill washington war iran turkish president recap sayyid brogan intensify diplomatic effort end iran war iranian missile shot approach turkey country worry could among affected conflict rise oil price threaten nation fragile economy potential iranian,negative,negative,0.575
u sink warship trump warn iran surrender face guarantee death,negative,negative,0.66
emergency alert sent people dubai seek immediate shelter missile threat,negative,negative,0.685
even dumber crazy iraq war,negative,negative,0.69
anna allah official say yemen declare state war ali al mad head yemen central organization control audit member anna allah political bureau tell blythe cradle spin exclusive interview march sanaa already declare state war comment signal potential intervention yemen point ongoing regional war spark u israeli aggression iran sanaa considers declare state war decision escalate depend battlefield condition say ask open front ask san force already enter fight directly mad tell blythe cradle first day leader anna allah sayyid abdul mali also announce full readiness confrontation consider declare state war confrontation determine time place engagement subject leaderships decision condition battle believe one front fight enemy within unified collective path respond speculation yemen position link gulf state directly enter war offensively say battle arab versus arab islamic country confrontation u direct military presence role region link position gulf decision bilateral communication offer regime could accept thing go say consider stand iran religious national duty front line confront project target entire region whether banner great israel new middle east remain steadfast support axis resistance confront israel u western country add cradle also ask anna allah member delay yemeni military intervention san decision yemen wait decision request axis resistance path one coordination exist within unified front yemeni decision strongly present part broad vision base act one nation confront single enemy victory achieve integration coordination question yemen red line say strategy base clear phase escalation enemy cross certain line move new stage approach test proven effective previously adopt support front support gaza genocide start gaza near allay yemeni arm force yak among first group intervene militarily alongside lebanon hezbollah iraqi resistance faction yak implement unprecedented naval blockade israel begin target vessel link israeli interest route israeli port operation inflict major blow global shipping israeli economy european u naval deployment fail deter sana yemen also targetednbspwashingtons warships u official say time intense naval combat since world war pius president donald trump launch major war yemen march kill hundred civilian massive bomb campaign fail prevent yak continue operation interview mad come iran launch nonstop drone missile operation israeli target u base gulf response unprovokednbspwarnbspinitiated washington tel avid tehran day ago iraqi resistance faction also target u base drone hezbollah begin military operation well target several israeli kava tank lebanese southernnbspborderjoint rocket missile barrage hezbollah iran launch toward israel wednesday first time source cradle,neutral,neutral,0.485
u war iran look like vietnam war u lose vietnam war vietnam ally china soviet union time,neutral,neutral,0.6
martin turner political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.92
however trump think people send die sucker loser care,negative,negative,0.635
steven cam ley donald kerr political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.935
may assist defense gulf state iranian retaliation join u war head canadian military operation would within zone self defense,neutral,neutral,0.565
time israel use massive firepower civilian infrastructure residential area break society population would expend energy survival rather resistance seth rubin declare washington war aim iran wilful savage demonstration mass destruction purpose demonstration,negative,negative,0.595
price diesel germany climb per litre result war iran adam automobile association say wednesday,neutral,neutral,0.565
see trump use iran war excuse give mate putin help hand fight war ukraine,negative,negative,0.655
war often begin political speech consequence write live ordinary people current iran conflict critic say israel military campaign support receives united state intensified crisis increase civilian suffering world must ask whether endless war ever bring stability region already endure much violence,neutral,neutral,0.52
donald trump say u want involve choose iran next leader conflict spread donald trump insists say pick iran next supreme leader conflict reverberate throughout region,neutral,neutral,0.695
prediction prove wait last professor kiang warns u lose iran war,negative,negative,0.57
behind every headline war real human story mother search child family flee home community turn ruin report massive airstrikes iran spark outrage among many observer accuse israel united state use overwhelming military force without regard humanitarian consequence history judge world respond crisis silence face suffer never neutral,negative,negative,0.795
israel military chief warns operation iran move next phase fresh airstrikes hit tehran u force reportedly strike iranian drone carrier amid escalate middle east conflict,negative,negative,0.7
get lilt fire miss publish play side youtubexipwqmwyrtrump fire kristi poem miss,neutral,neutral,0.82
interest someone iran broadcast english anti trump content mhz hear sir europe look like technically iris voice iran wonder replay american accent know nowadays u u consider hostile propaganda include sanction criminal charge anyone catch work shortwave channel,neutral,neutral,0.71
get lilt fire publish play side,neutral,neutral,0.76
six american soldier kill iran strike war cast shadow western alliance,negative,negative,0.655
look kurd relationship middle east brussels thousand battle harden kurd northern iraq prepare potential cross order military opera bush ford news,neutral,neutral,0.535
news trump hint take action cuba iran military operation end,neutral,neutral,0.515
interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,neutral,neutral,0.775
africa iran war global trade cape route become new normal conversation africa event middle east february march disrupt flow ship trade eastern western sphere international system,neutral,neutral,0.625
image come iran today heartbreaking destroy neighbourhood injured civilian family search love one report say conflict already kill thousand people leave thousand wounded short period time business standard observer believe diplomacy prioritize conflict could spread across middle east,negative,negative,0.77
still support genocide perpetrate he also everything outdone,negative,negative,0.715
key point would satisfy solution bib prefers model chaos civil war fragmentation point trump see u aim diverge,neutral,neutral,0.755
buy home heating oil workplace price jump cent gallon four day thanks trump war stupidity distract epstein child rapist,negative,negative,0.74
iran country fight war country allah akbar,negative,negative,0.64
bailey cartoon jesus take wheel,neutral,neutral,0.785
fuelled year assist tool use pentagon make military decision guide decision could cost life fast powerful flawed system already change war fight,negative,neutral,0.495
israel decide november eliminate iran supreme leader ali karen defence minister israel kate reveal israeli force continue airstrikes across tehran,negative,neutral,0.51
ironically protest adelaide australia involvement somebody palestine flag protest much do even know protest lose meaning,neutral,neutral,0.745
war propaganda always try justify violence destruction ground tell different story city burn hospital struggle treat wound family mourn dead critic say israel united state responsible escalate current conflict iran risk regional war could affect million people people middle east deserve peace another generation grow shadow war,negative,negative,0.74
history remember political speech war also live lost city destroy current military campaign involve israel united state iran already cause heavy casualty humanitarian concern washington post world truly want peace diplomacy justice must replace politics endless war,neutral,neutral,0.43
president trump hint next agenda follow military campaign havana total energy blockade rubin lead charge tension hit break point,negative,negative,0.695
expert say catch escalation trap kyle kolinsky show,neutral,neutral,0.775
image come iran today heartbreaking building destroy people trap rubble family force run home many voice around world accuse israel united state carry military campaign cause immense suffer civilian war government never destroy life innocent people humanity want future peace must reject war treat human live collateral damage,negative,negative,0.805
auks crosshair aussie sub sank iris dena,neutral,neutral,0.845
yikes target hotel imagine transit dubai stuck airport hotel get hit conversation iran target airport port hotel reaction u strike force gulf nation onto front line war want part,negative,neutral,0.615
break u marine brian main miss arm violate st amendment right heres u senator tim sheet montana december trip israel shortly election describe various source first official act senator,neutral,neutral,0.775
late trump say iran call deal u want fight,negative,negative,0.615
best capture thought united state submarine top iranian navy ship international water near sri lanka,neutral,neutral,0.76
strategic standoff iranian anti ship missile threat u navy carrier traditional naval battle persian gulf result clear iran conventional surface fleet decimate,negative,negative,0.615
wall street major index tumble escalate u iran conflict fear drive oil price high dow plunge steep single day decline since april amid concern potential middle east war expansion global economic impact,negative,negative,0.645
expect bill go thanks trump,neutral,neutral,0.67
least hospital health facility hit attack iran say,negative,negative,0.57
snake president donald trump read poem make america great rally harrisburg pennsylvania april mark day office,neutral,neutral,0.89
trump u role choose iran next leader president donald trump say want united state play role choose iran next supreme leader,neutral,neutral,0.69
al jan era investigation iran girl school target likely deliberate,neutral,negative,0.555
liberal map hold call friday caucus raise concern carneys shift iran position foreign affair minister anita set brief liberal map friday morning government position war engulf iran surround country middle east privately publicly raise concern prime minister mark carneys initial statement regard,neutral,neutral,0.605
report cent com suggest trump war iran likely last september recent development announce white house suggest war widen one expert say,neutral,neutral,0.59
wonder pilot u air tanker deliberately push position data do feel like actual threat altitude think face,neutral,neutral,0.7
rob rogers write drew trump spend last decade presidential campaign criticize predecessor engage regime change forever war oops,neutral,neutral,0.655
verdant square radio playing david parkman show truly bad day people care reality,negative,neutral,0.615
sen brian chat war cost billion dollar day one month spend need save healthcare million american literally take away food healthcare regime change war choice,negative,negative,0.7
replace replace kristi poem travel dog house imaginary job never exist,neutral,neutral,0.83
play david parkman show truly bad day people care reality,negative,negative,0.66
cost living soar healthcare take away trump spending billion per day war choice iran fresh reporting ongoing u assault iran could cost billion per day,negative,negative,0.535
hmm look normal burning oil rig appear coast bahrain feb,neutral,neutral,0.75
canada u u plan evacuation citizen use one slight problem constant attack resident tell shelter place,negative,negative,0.52
dow jones industrial average plunge first time nearly year iran war escalation fear spread real economy cyclical stock tumble software sector attract bargain hunter amid supply chain oil price concern threaten global growth,negative,negative,0.715
toothless fail u washington house narrowly reject war power resolution thursday halt president donald trump attack iran early sign unease congress rapidly widen conflict reorder u priorities home abroad second vote many day senate defeat similar measure along party line lawmaker confront sudden reality represent wary american wartime entails life lose dollar spent alliance test president unilateral decision go war iran,neutral,neutral,0.645
chief israel hold surprise move war enters next phase,neutral,neutral,0.47
israel strike beirut southern suburb issue evacuation order beirut,neutral,negative,0.495
st hr police car light cost u right arrow budget acc si human casualty break heart incl dead u service member plus pal dead u police car light expend munition various type cent com provide specific use use past u air campaign guide analysis estimate till cost replenish u munition inventory like online basis cost arrow may come,neutral,neutral,0.665
broken heart kindhearted people fold hand child exhaust lose everything pensive face palm together please help share message goodness may reach u herb may god reward kindness,positive,negative,0.39
name age kill share type primary school strike,neutral,neutral,0.54
trump pleasantly surprise roll floor laugh roll floor laugh roll floor laughing,positive,neutral,0.47
crime,neutral,neutral,0.795
drag wider ii,neutral,neutral,0.58
verdant square radio play nicole handler show fire hired greg palest return,neutral,neutral,0.925
every time rich powerful country corporation people attack exploit fabric civilization fray aggression contain fabric unravels stop entire world descend chaos war happen,negative,negative,0.505
verdant square radio playing democracy go war former u official say clear plan,neutral,neutral,0.64
